"236";"bychom";"1084";"342,776"
"237";"tři";"1075";"339,93"
"238";"kterou";"1074";"339,614"
"239";"vždyť";"1061";"335,503"
"240";"náš";"1054";"333,289"
"241";"pořád";"1053";"332,973"
"242";"zrovna";"1051";"332,341"
"243";"ním";"1047";"331,076"
"244";"den";"1047";"331,076"
"245";"váš";"1047";"331,076"
"246";"všichni";"1045";"330,444"
"247";"byste";"1045";"330,444"
"248";"zdá";"1039";"328,546"
"249";"opravdu";"1039";"328,546"
"250";"světě";"1035";"327,281"
"251";"této";"1032";"326,333"
"252";"jenž";"1030";"325,7"
"253";"říká";"1026";"324,435"
"254";"viděl";"1021";"322,854"
"255";"konečně";"1016";"321,273"
"256";"dost";"1015";"320,957"
"257";"jaksi";"1013";"320,325"
"258";"nemůže";"1012";"320,008"
"259";"zde";"1011";"319,692"
"260";"přes";"1010";"319,376"
"261";"něho";"1007";"318,427"
"262";"tehdy";"1001";"316,53"
"263";"dál";"995";"314,633"
"264";"můj";"985";"311,471"
"265";"čapek";"978";"309,257"
"266";"teprve";"976";"308,625"
"267";"máme";"974";"307,992"
"268";"rukou";"968";"306,095"
"269";"nové";"961";"303,882"
"270";"svém";"960";"303,565"
"271";"nějaký";"959";"303,249"
"272";"byli";"958";"302,933"
"273";"možno";"947";"299,455"
"274";"víte";"942";"297,874"
"275";"zvláštní";"940";"297,241"
"276";"sem";"935";"295,66"
"277";"potom";"930";"294,079"
"278";"jistě";"930";"294,079"
"279";"národní";"924";"292,182"
"280";"budu";"923";"291,865"
"281";"prokop";"922";"291,549"
"282";"sebou";"920";"290,917"
"283";"chvíli";"920";"290,917"
"284";"starý";"918";"290,284"
"285";"nejsou";"914";"289,02"
"286";"věcí";"913";"288,703"
"287";"nějaké";"912";"288,387"
"288";"*";"910";"287,755"
"289";"což";"908";"287,122"
"290";"vidět";"904";"285,857"
"291";"například";"895";"283,011"
"292";"abyste";"894";"282,695"
"293";"mé";"889";"281,114"
"294";"více";"888";"280,798"
"295";"stojí";"887";"280,482"
"296";"chce";"884";"279,533"
"297";"dosud";"884";"279,533"
"298";"sice";"883";"279,217"
"299";"naší";"883";"279,217"
"300";"již";"883";"279,217"
"301";"málo";"878";"277,636"
"302";"zatím";"875";"276,687"
"303";"celé";"872";"275,739"
"304";"avšak";"871";"275,422"
"305";"nebyl";"870";"275,106"
"306";"srdce";"866";"273,841"
"307";"stát";"855";"270,363"
"308";"praze";"853";"269,73"
"309";"vlastní";"851";"269,098"
"310";"země";"848";"268,149"
"311";"máte";"839";"265,303"
"312";"prostě";"839";"265,303"
"313";"lidi";"836";"264,355"
"314";"kolem";"833";"263,406"
"315";"sama";"833";"263,406"
"316";"daleko";"831";"262,774"
"317";"mě";"826";"261,193"
"318";"hned";"825";"260,876"
"319";"dvě";"817";"258,347"
"320";"druhé";"816";"258,031"
"321";"čím";"814";"257,398"
"322";"vím";"807";"255,185"
"323";"adam";"807";"255,185"
"324";"spíše";"803";"253,92"
"325";"slovo";"799";"252,655"
"326";"jiných";"798";"252,339"
"327";"pán";"797";"252,023"
"328";"několik";"797";"252,023"
"329";"tyto";"789";"249,493"
"330";"zcela";"789";"249,493"
"331";"očima";"788";"249,177"
"332";"taky";"785";"248,228"
"333";"býti";"785";"248,228"
"334";"budou";"785";"248,228"
"335";"nu";"779";"246,331"
"336";"muž";"778";"246,014"
"337";"či";"777";"245,698"
"338";"přitom";"776";"245,382"
"339";"slova";"775";"245,066"
"340";"musím";"775";"245,066"
"341";"jiného";"773";"244,433"
"342";"práci";"772";"244,117"
"343";"nějak";"772";"244,117"
"344";"dělá";"769";"243,169"
"345";"poslední";"761";"240,639"
"346";"1";"759";"240,006"
"347";"taková";"752";"237,793"
"348";"lze";"744";"235,263"
"349";"jich";"739";"233,682"
"350";"mluvit";"737";"233,05"
"351";"tohle";"733";"231,785"
"352";"vaše";"733";"231,785"
"353";"zas";"727";"229,888"
"354";"hlas";"726";"229,571"
"355";"dobré";"725";"229,255"
"356";"přímo";"725";"229,255"
"357";"našeho";"723";"228,623"
"358";"víš";"721";"227,99"
"359";"dne";"720";"227,674"
"360";"tohoto";"720";"227,674"
"361";"děti";"717";"226,725"
"362";"dílo";"715";"226,093"
"363";"buď";"712";"225,144"
"364";"doby";"711";"224,828"
"365";"no";"710";"224,512"
"366";"hlavou";"708";"223,879"
"367";"dal";"707";"223,563"
"368";"patrně";"706";"223,247"
"369";"pana";"705";"222,931"
"370";"karel";"703";"222,298"
"371";"hlavu";"699";"221,034"
"372";"šel";"698";"220,717"
"373";"doma";"697";"220,401"
"374";"vždycky";"697";"220,401"
"375";"všem";"694";"219,452"
"376";"tuto";"691";"218,504"
"377";"nemohu";"690";"218,188"
"378";"abychom";"690";"218,188"
"379";"kus";"688";"217,555"
"380";"dokonce";"687";"217,239"
"381";"národ";"685";"216,607"
"382";"našich";"682";"215,658"
"383";"vždy";"682";"215,658"
"384";"2";"676";"213,761"
"385";"měli";"675";"213,444"
"386";"najednou";"674";"213,128"
"387";"těchto";"669";"211,547"
"388";"bože";"668";"211,231"
"389";"člověče";"663";"209,65"
"390";"noci";"662";"209,334"
"391";"větší";"662";"209,334"
"392";"hlavně";"659";"208,385"
"393";"jiný";"657";"207,753"
"394";"moderní";"656";"207,436"
"395";"nebude";"645";"203,958"
"396";"jedna";"642";"203,009"
"397";"radost";"636";"201,112"
"398";"zkrátka";"634";"200,48"
"399";"vedle";"632";"199,847"
"400";"bůh";"626";"197,95"
"401";"ach";"625";"197,634"
"402";"atd";"624";"197,317"
"403";"moc";"624";"197,317"
"404";"3";"624";"197,317"
"405";"měla";"621";"196,369"
"406";"kam";"619";"195,736"
"407";"kdybych";"619";"195,736"
"408";"ně";"619";"195,736"
"409";"dobrá";"618";"195,42"
"410";"veliký";"617";"195,104"
"411";"všecko";"617";"195,104"
"412";"celou";"617";"195,104"
"413";"každé";"608";"192,258"
"414";"žádné";"607";"191,942"
"415";"staré";"607";"191,942"
"416";"druhý";"606";"191,626"
"417";"znamená";"604";"190,993"
"418";"nemohl";"604";"190,993"
"419";"19";"602";"190,361"
"420";"veliké";"602";"190,361"
"421";"nimi";"601";"190,045"
"422";"domů";"600";"189,728"
"423";"mluví";"599";"189,412"
"424";"poněkud";"598";"189,096"
"425";"milý";"593";"187,515"
"426";"poznání";"592";"187,199"
"427";"přišel";"591";"186,882"
"428";"musel";"590";"186,566"
"429";"zemi";"589";"186,25"
"430";"žena";"588";"185,934"
"431";"všeho";"588";"185,934"
"432";"jaké";"588";"185,934"
"433";"krásné";"581";"183,72"
"434";"chcete";"579";"183,088"
"435";"kterých";"579";"183,088"
"436";"můžeme";"577";"182,455"
"437";"psát";"577";"182,455"
"438";"večer";"576";"182,139"
"439";"nového";"573";"181,191"
"440";"osobní";"572";"180,874"
"441";"žádný";"572";"180,874"
"442";"znovu";"572";"180,874"
"443";"ona";"572";"180,874"
"444";"obyčejně";"571";"180,558"
"445";"lidské";"571";"180,558"
"446";"tož";"569";"179,926"
"447";"standa";"568";"179,61"
"448";"musíme";"563";"178,028"
"449";"konec";"563";"178,028"
"450";"především";"562";"177,712"
"451";"tisíc";"560";"177,08"
"452";"člověku";"559";"176,764"
"453";"dostal";"559";"176,764"
"454";"láska";"558";"176,447"
"455";"životě";"553";"174,866"
"456";"tomto";"550";"173,918"
"457";"lásky";"550";"173,918"
"458";"každá";"549";"173,601"
"459";"jednoho";"548";"173,285"
"460";"stalo";"546";"172,653"
"461";"raději";"546";"172,653"
"462";"duše";"545";"172,337"
"463";"přijde";"545";"172,337"
"464";"jít";"544";"172,02"
"465";"jedno";"542";"171,388"
"466";"dát";"540";"170,756"
"467";"nový";"538";"170,123"
"468";"roku";"537";"169,807"
"469";"zároveň";"536";"169,491"
"470";"jaký";"536";"169,491"
"471";"nutno";"535";"169,174"
"472";"udělat";"534";"168,858"
"473";"helena";"534";"168,858"
"474";"straně";"534";"168,858"
"475";"téměř";"533";"168,542"
"476";"dlouho";"530";"167,593"
"477";"ni";"529";"167,277"
"478";"nejde";"527";"166,645"
"479";"dítě";"527";"166,645"
"480";"pár";"526";"166,329"
"481";"tebe";"525";"166,012"
"482";"divadlo";"524";"165,696"
"483";"povídá";"523";"165,38"
"484";"nemám";"523";"165,38"
"485";"všude";"522";"165,064"
"486";"mohli";"521";"164,747"
"487";"celá";"519";"164,115"
"488";"ráno";"519";"164,115"
"489";"prahy";"518";"163,799"
"490";"můžete";"516";"163,166"
"491";"pět";"514";"162,534"
"492";"velké";"511";"161,585"
"493";"kulturní";"511";"161,585"
"494";"ruku";"508";"160,637"
"495";"nějakou";"508";"160,637"
"496";"autor";"503";"159,056"
"497";"pravdu";"503";"159,056"
"498";"národa";"503";"159,056"
"499";"naši";"503";"159,056"
"500";"4";"500";"158,107"
"501";"kterým";"498";"157,475"
"502";"skutečně";"494";"156,21"
"503";"naprosto";"494";"156,21"
"504";"méně";"493";"155,893"
"505";"emilia";"493";"155,893"
"506";"někde";"492";"155,577"
"507";"divadla";"492";"155,577"
"508";"ostatní";"491";"155,261"
"509";"námi";"491";"155,261"
"510";"doktor";"490";"154,945"
"511";"profesor";"489";"154,629"
"512";"lepší";"488";"154,312"
"513";"dobrý";"487";"153,996"
"514";"často";"486";"153,68"
"515";"5";"484";"153,048"
"516";"skutečnosti";"482";"152,415"
"517";"rok";"480";"151,783"
"518";"dopis";"480";"151,783"
"519";"jisté";"479";"151,466"
"520";"stále";"479";"151,466"
"521";"peníze";"478";"151,15"
"522";"ba";"478";"151,15"
"523";"copak";"478";"151,15"
"524";"ono";"476";"150,518"
"525";"žádná";"475";"150,202"
"526";"noc";"475";"150,202"
"527";"pomalu";"475";"150,202"
"528";"máš";"474";"149,885"
"529";"začal";"472";"149,253"
"530";"němu";"472";"149,253"
"531";"zatímco";"471";"148,937"
"532";"hodně";"471";"148,937"
"533";"čas";"471";"148,937"
"534";"smyslu";"470";"148,621"
"535";"životní";"470";"148,621"
"536";"neměl";"470";"148,621"
"537";"ví";"470";"148,621"
"538";"podívat";"469";"148,304"
"539";"třetí";"468";"147,988"
"540";"takto";"468";"147,988"
"541";"spíš";"467";"147,672"
"542";"české";"464";"146,723"
"543";"díla";"463";"146,407"
"544";"myslí";"463";"146,407"
"545";"opět";"461";"145,775"
"546";"dá";"461";"145,775"
"547";"nelze";"461";"145,775"
"548";"jméno";"458";"144,826"
"549";"mladý";"458";"144,826"
"550";"literární";"457";"144,51"
"551";"takovou";"456";"144,194"
"552";"mnou";"456";"144,194"
"553";"svými";"455";"143,877"
"554";"vědomí";"454";"143,561"
"555";"dejme";"454";"143,561"
"556";"největší";"453";"143,245"
"557";"době";"452";"142,929"
"558";"zejména";"451";"142,612"
"559";"otázka";"451";"142,612"
"560";"místě";"451";"142,612"
"561";"bys";"451";"142,612"
"562";"udělal";"449";"141,98"
"563";"budeme";"449";"141,98"
"564";"hrozně";"449";"141,98"
"565";"ducha";"447";"141,348"
"566";"rozumí";"446";"141,031"
"567";"moře";"446";"141,031"
"568";"dny";"443";"140,083"
"569";"vidíte";"443";"140,083"
"570";"dává";"442";"139,767"
"571";"dosti";"442";"139,767"
"572";"cosi";"442";"139,767"
"573";"pozor";"441";"139,45"
"574";"nebyla";"441";"139,45"
"575";"jednu";"441";"139,45"
"576";"politické";"440";"139,134"
"577";"ženy";"440";"139,134"
"578";"děje";"440";"139,134"
"579";"našel";"439";"138,818"
"580";"nejsem";"439";"138,818"
"581";"zítra";"438";"138,502"
"582";"psal";"437";"138,185"
"583";"času";"436";"137,869"
"584";"lépe";"434";"137,237"
"585";"pěkně";"433";"136,921"
"586";"tou";"432";"136,604"
"587";"zda";"432";"136,604"
"588";"lidem";"431";"136,288"
"589";"loupežník";"431";"136,288"
"590";"nedá";"431";"136,288"
"591";"knihy";"429";"135,656"
"592";"vámi";"428";"135,34"
"593";"budete";"426";"134,707"
"594";"dnešní";"426";"134,707"
"595";"strašně";"425";"134,391"
"596";"6";"422";"133,442"
"597";"praví";"422";"133,442"
"598";"mohlo";"422";"133,442"
"599";"mělo";"422";"133,442"
"600";"ven";"421";"133,126"
"601";"honem";"420";"132,81"
"602";"říkám";"419";"132,494"
